A88,22.5,2.177,79,878,54.333,47.823,0.465,Moderately Healthy Plant,51.583,52.364,0.767,Very Healthy Plant,44.217,50.686,0.802,Very Healthy Plant,0.000
A89,21.4,2.415,72,812,53.950,43.087,0.470,Moderately Healthy Plant,46.450,56.438,0.781,Very Healthy Plant,40.300,47.700,0.813,Very Healthy Plant,0.000
A90,16.3,3.548,102,620,49.900,29.798,0.402,Moderately Healthy Plant,45.283,32.066,0.802,Very Healthy Plant,34.833,24.912,0.772,Very Healthy Plant,0.505
A91,22.3,3.153,125,1005,53.033,56.780,0.421,Moderately Healthy Plant,40.967,57.245,0.817,Very Healthy Plant,40.867,56.573,0.812,Very Healthy Plant,0.000
A92,18,2.21,125,872,53.167,40.965,0.479,Moderately Healthy Plant,50.683,43.941,0.845,Very Healthy Plant,45.033,43.119,0.837,Very Healthy Plant,0.000
A93,17,2.302,102,747,50.167,37.699,0.484,Moderately Healthy Plant,45.233,27.522,0.793,Very Healthy Plant,45.733,31.128,0.763,Very Healthy Plant,1.545
A94,19.9,2.11,138,772,52.217,31.878,0.509,Moderately Healthy Plant,38.750,14.519,0.841,Very Healthy Plant,44.733,27.164,0.814,Very Healthy Plant,0.000
A95,19.3,2.634,124,725,46.083,24.485,0.518,Moderately Healthy Plant,42.567,31.312,0.849,Very Healthy Plant,42.883,23.844,0.857,Very Healthy Plant,0.000
A96,21.2,2.472,126,584,51.950,26.067,0.512,Moderately Healthy Plant,45.783,26.013,0.831,Very Healthy Plant,48.133,26.502,0.822,Very Healthy Plant,0.000
A97,24.2,2.846,69,882,50.200,34.375,0.546,Moderately Healthy Plant,38.300,50.654,0.815,Very Healthy Plant,41.650,43.000,0.823,Very Healthy Plant,0.000
A98,21.5,2.122,86,1022,50.150,30.968,0.436,Moderately Healthy Plant,45.783,38.086,0.807,Very Healthy Plant,38.633,32.926,0.781,Very Healthy Plant,0.000
A99,16.8,2.4,124,753,53.533,21.341,0.472,Moderately Healthy Plant,52.550,17.498,0.814,Very Healthy Plant,42.533,17.100,0.787,Very Healthy Plant,0.000
A100,17,2.504,133,854,49.317,39.395,0.386,Moderately Healthy Plant,37.750,37.868,0.794,Very Healthy Plant,42.133,36.185,0.726,Very Healthy Plant,0.000
A101,17.2,2.598,96,723,50.717,29.892,0.553,Moderately Healthy Plant,45.033,26.874,0.850,Very Healthy Plant,46.933,35.179,0.815,Very Healthy Plant,0.000
A102,21.3,2.892,109,995,46.750,67.184,0.496,Moderately Healthy Plant,35.733,30.468,0.809,Very Healthy Plant,41.067,61.762,0.789,Very Healthy Plant,0.000
A103,17,2.479,128,814,49.200,40.355,0.501,Moderately Healthy Plant,40.700,26.885,0.791,Very Healthy Plant,39.683,37.784,0.791,Very Healthy Plant,0.000
A104,24.5,2.169,89,907,57.033,33.624,0.482,Moderately Healthy Plant,45.800,39.918,0.818,Very Healthy Plant,37.850,36.560,0.806,Very Healthy Plant,0.000
A105,17,2.783,144,778,51.317,28.196,0.440,Moderately Healthy Plant,42.733,32.094,0.786,Very Healthy Plant,47.900,28.261,0.803,Very Healthy Plant,0.000
A106,20.5,2.265,112,748,48.333,35.163,0.517,Moderately Healthy Plant,54.733,34.818,0.752,Very Healthy Plant,35.350,32.440,0.786,Very Healthy Plant,0.000
A107,17.7,2.292,107,636,56.550,25.268,0.475,Moderately Healthy Plant,43.100,32.249,0.786,Very Healthy Plant,40.200,26.313,0.782,Very Healthy Plant,0.000
A108,22.3,2.24,118,534,49.850,46.474,0.384,Moderately Healthy Plant,44.233,23.540,0.773,Very Healthy Plant,51.867,46.872,0.759,Very Healthy Plant,0.000
A109,23.4,3.725,86,937,52.583,55.851,0.482,Moderately Healthy Plant,46.383,61.861,0.765,Very Healthy Plant,56.333,53.024,0.776,Very Healthy Plant,0.000
A110,13.3,3.638,177,932,53.350,44.476,0.471,Moderately Healthy Plant,49.533,44.718,0.788,Very Healthy Plant,48.650,43.752,0.764,Very Healthy Plant,0.000
A111,18.2,3.38,142,876,50.900,32.730,0.529,Moderately Healthy Plant,44.083,33.841,0.801,Very Healthy Plant,47.867,36.434,0.777,Very Healthy Plant,0.000
A112,17.9,3.626,145,828,50.433,38.248,0.444,Moderately Healthy Plant,44.783,10.281,0.827,Very Healthy Plant,45.433,34.894,0.768,Very Healthy Plant,0.000
A113,19.7,3.415,153,922,45.250,40.694,0.541,Moderately Healthy Plant,49.350,25.603,0.824,Very Healthy Plant,40.417,42.099,0.785,Very Healthy Plant,8.860
A114,17.4,2.91,136,809,57.083,27.759,0.529,Moderately Healthy Plant,56.583,27.580,0.798,Very Healthy Plant,38.250,25.471,0.799,Very Healthy Plant,0.000
A115,25,2.339,84,886,53.133,55.287,0.475,Moderately Healthy Plant,44.033,57.374,0.746,Very Healthy Plant,44.067,52.813,0.772,Very Healthy Plant,0.000
